TIME (s) 	MONO:A	DIMERS W:A	
0.501	763	12	
0.5025	765	11	
0.504	747	23	
0.5055	752	16	
0.507	753	17	
0.5085	758	10	
0.51	737	19	
0.5115	735	20	
0.513	736	21	
0.5145	742	12	
0.516	747	14	
0.5175	755	13	
0.519	751	15	
0.5205	755	13	
0.522	763	15	
0.5235	755	19	
0.525	736	18	
0.5265	742	15	
0.528	744	20	
0.5295	757	15	
0.531	750	14	
0.5325	743	16	
0.534	749	10	
0.5355	776	13	
0.537	756	20	
0.5385	758	16	
0.54	753	11	
0.5415	749	19	
0.543	744	20	
0.5445	773	10	
0.546	750	17	
0.5475	735	20	
0.549	744	14	
0.5505	743	19	
0.552	762	14	
0.5535	743	19	
0.555	737	22	
0.5565	753	20	
0.558	768	14	
0.5595	738	23	
0.561	754	15	
0.5625	737	19	
0.564	741	20	
0.5655	737	19	
0.567	745	21	
0.5685	734	19	
0.57	711	17	
0.5715	740	16	
0.573	745	12	
0.5745	737	19	
0.576	765	11	
0.5775	747	14	
0.579	730	24	
0.5805	745	18	
0.582	737	16	
0.5835	734	19	
0.585	730	21	
0.5865	742	21	
0.588	729	20	
0.5895	732	14	
0.591	719	19	
0.5925	718	15	
0.594	703	15	
0.5955	729	14	
0.597	741	14	
0.5985	738	17	
0.6	740	13	
