Time (s): 0
Time (s): 0.027
325	A: 1. 
4	A: 1. C: 1. 
4	A: 1. B: 1. 
329	C: 1. 
329	B: 1. 
Time (s): 0.0285
325	A: 1. 
6	A: 1. C: 1. 
2	A: 1. B: 1. 
331	B: 1. 
327	C: 1. 
Time (s): 0.03
327	A: 1. 
5	A: 1. B: 1. 
1	A: 1. C: 1. 
332	C: 1. 
328	B: 1. 
Time (s): 0.0315
324	A: 1. 
5	A: 1. B: 1. 
4	A: 1. C: 1. 
328	B: 1. 
329	C: 1. 
Time (s): 0.033
330	A: 1. 
3	A: 1. C: 1. 
330	C: 1. 
333	B: 1. 
Time (s): 0.0345
319	A: 1. 
8	A: 1. C: 1. 
6	A: 1. B: 1. 
327	B: 1. 
325	C: 1. 
Time (s): 0.036
327	A: 1. 
2	A: 1. B: 1. 
4	A: 1. C: 1. 
329	C: 1. 
331	B: 1. 
Time (s): 0.0375
325	A: 1. 
4	A: 1. C: 1. 
4	A: 1. B: 1. 
329	C: 1. 
329	B: 1. 
Time (s): 0.039
325	A: 1. 
6	A: 1. C: 1. 
2	A: 1. B: 1. 
331	B: 1. 
327	C: 1. 
Time (s): 0.0405
327	A: 1. 
3	A: 1. B: 1. 
3	A: 1. C: 1. 
330	B: 1. 
330	C: 1. 
Time (s): 0.042
328	A: 1. 
3	A: 1. B: 1. 
2	A: 1. C: 1. 
330	B: 1. 
331	C: 1. 
Time (s): 0.0435
4	A: 1. C: 1. 
325	A: 1. 
4	A: 1. B: 1. 
329	B: 1. 
329	C: 1. 
Time (s): 0.045
329	A: 1. 
3	A: 1. C: 1. 
1	A: 1. B: 1. 
332	B: 1. 
330	C: 1. 
Time (s): 0.0465
322	A: 1. 
1	A: 1. C: 1. 
10	A: 1. B: 1. 
332	C: 1. 
323	B: 1. 
Time (s): 0.048
329	A: 1. 
1	A: 1. C: 1. 
3	A: 1. B: 1. 
330	B: 1. 
332	C: 1. 
Time (s): 0.0495
328	A: 1. 
2	A: 1. B: 1. 
3	A: 1. C: 1. 
330	C: 1. 
331	B: 1. 
Time (s): 0.051
328	A: 1. 
4	A: 1. C: 1. 
1	A: 1. B: 1. 
332	B: 1. 
329	C: 1. 
Time (s): 0.0525
323	A: 1. 
6	A: 1. B: 1. 
4	A: 1. C: 1. 
327	B: 1. 
329	C: 1. 
Time (s): 0.054
324	A: 1. 
5	A: 1. B: 1. 
4	A: 1. C: 1. 
328	B: 1. 
329	C: 1. 
Time (s): 0.0555
327	A: 1. 
2	A: 1. C: 1. 
4	A: 1. B: 1. 
331	C: 1. 
329	B: 1. 
Time (s): 0.057
325	A: 1. 
4	A: 1. C: 1. 
4	A: 1. B: 1. 
329	C: 1. 
329	B: 1. 
Time (s): 0.0585
324	A: 1. 
4	A: 1. B: 1. 
5	A: 1. C: 1. 
328	C: 1. 
329	B: 1. 
Time (s): 0.06
324	A: 1. 
4	A: 1. B: 1. 
5	A: 1. C: 1. 
328	C: 1. 
329	B: 1. 
Time (s): 0.0615
320	A: 1. 
4	A: 1. C: 1. 
9	A: 1. B: 1. 
329	C: 1. 
324	B: 1. 
Time (s): 0.063
327	A: 1. 
3	A: 1. B: 1. 
3	A: 1. C: 1. 
330	B: 1. 
330	C: 1. 
Time (s): 0.0645
328	A: 1. 
3	A: 1. B: 1. 
2	A: 1. C: 1. 
330	B: 1. 
331	C: 1. 
Time (s): 0.066
328	A: 1. 
2	A: 1. B: 1. 
3	A: 1. C: 1. 
330	C: 1. 
331	B: 1. 
