Time (s): 0
333	A: 1. 
333	B: 1. 
333	C: 1. 
Time (s): 0.0015
329	A: 1. 
4	A: 1. C: 1. 
333	B: 1. 
329	C: 1. 
Time (s): 0.003
322	A: 1. 
7	A: 1. C: 1. 
4	A: 1. B: 1. 
326	C: 1. 
329	B: 1. 
Time (s): 0.0045
326	A: 1. 
3	A: 1. B: 1. 
4	A: 1. C: 1. 
329	C: 1. 
330	B: 1. 
Time (s): 0.006
328	A: 1. 
4	A: 1. B: 1. 
1	A: 1. C: 1. 
332	C: 1. 
329	B: 1. 
Time (s): 0.0075
324	A: 1. 
4	A: 1. B: 1. 
5	A: 1. C: 1. 
328	C: 1. 
329	B: 1. 
Time (s): 0.009
327	A: 1. 
3	A: 1. B: 1. 
3	A: 1. C: 1. 
330	C: 1. 
330	B: 1. 
Time (s): 0.0105
326	A: 1. 
4	A: 1. B: 1. 
3	A: 1. C: 1. 
330	C: 1. 
329	B: 1. 
Time (s): 0.012
325	A: 1. 
3	A: 1. B: 1. 
5	A: 1. C: 1. 
328	C: 1. 
330	B: 1. 
Time (s): 0.0135
324	A: 1. 
6	A: 1. C: 1. 
3	A: 1. B: 1. 
327	C: 1. 
330	B: 1. 
Time (s): 0.015
324	A: 1. 
2	A: 1. B: 1. 
7	A: 1. C: 1. 
326	C: 1. 
331	B: 1. 
Time (s): 0.0165
327	A: 1. 
3	A: 1. B: 1. 
3	A: 1. C: 1. 
330	C: 1. 
330	B: 1. 
Time (s): 0.018
324	A: 1. 
2	A: 1. B: 1. 
7	A: 1. C: 1. 
326	C: 1. 
331	B: 1. 
Time (s): 0.0195
327	A: 1. 
2	A: 1. C: 1. 
4	A: 1. B: 1. 
329	B: 1. 
331	C: 1. 
Time (s): 0.021
324	A: 1. 
5	A: 1. C: 1. 
4	A: 1. B: 1. 
328	C: 1. 
329	B: 1. 
Time (s): 0.0225
328	A: 1. 
2	A: 1. B: 1. 
3	A: 1. C: 1. 
330	C: 1. 
331	B: 1. 
Time (s): 0.024
328	A: 1. 
3	A: 1. C: 1. 
2	A: 1. B: 1. 
330	C: 1. 
331	B: 1. 
Time (s): 0.0255
326	A: 1. 
3	A: 1. C: 1. 
4	A: 1. B: 1. 
330	C: 1. 
329	B: 1. 
