TIME(s)	'A,R'	'A,PrA'	'A,PrR'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
1.19	34	1	0	0	0	0	0	0	0	0	396
1.2	34	1	1	0	0	0	0	0	0	0	402
1.21	34	0	0	0	0	0	0	0	0	0	406
1.22	34	0	1	0	0	0	0	0	0	0	414
1.23	34	0	1	0	0	0	0	0	0	0	422
1.24	34	1	1	0	0	0	0	0	0	0	431
1.25	35	1	0	0	0	0	0	0	0	0	442
1.26	35	0	1	0	0	0	0	0	0	0	444
1.27	36	1	1	0	0	0	0	0	0	0	450
1.28	36	1	1	0	0	0	0	0	0	0	454
1.29	37	1	0	0	0	0	0	0	0	0	463
1.3	39	1	1	0	0	0	0	0	0	0	467
1.31	43	1	1	0	0	0	0	0	0	0	481
1.32	44	0	1	0	0	0	0	0	0	0	483
1.33	45	1	0	0	0	0	0	0	0	0	485
1.34	46	1	0	0	0	0	0	0	0	0	493
1.35	48	1	1	0	0	0	0	0	0	0	501
1.36	50	1	0	0	0	0	0	0	0	0	509
1.37	54	1	1	0	0	0	0	0	0	0	518
1.38	54	0	1	0	0	0	0	0	0	0	526
1.39	54	1	1	0	0	0	0	0	0	0	530
1.4	54	1	1	0	0	0	0	0	0	0	537
1.41	55	1	1	0	0	0	0	0	0	0	543
1.42	55	0	0	0	0	0	0	0	0	0	547
1.43	58	1	1	0	0	0	0	0	0	0	553
1.44	59	1	1	0	0	0	0	0	0	0	559
1.45	60	0	0	0	0	0	0	0	0	0	564
1.46	60	1	1	0	0	0	0	0	0	0	567
1.47	61	0	1	0	0	0	0	0	0	0	574
1.48	61	1	1	0	0	0	0	0	0	0	585
1.49	62	1	0	0	0	0	0	0	0	0	592
1.5	63	0	1	0	0	0	0	0	0	0	598
1.51	63	1	1	0	0	0	0	0	0	0	604
1.52	63	0	1	0	0	0	0	0	0	0	607
1.53	63	1	1	0	0	0	0	0	0	0	614
1.54	64	1	1	0	0	0	0	0	0	0	623
1.55	65	1	1	0	0	0	0	0	0	0	630
1.56	65	1	1	0	0	0	0	0	0	0	633
1.57	72	1	0	0	0	0	0	0	0	0	646
1.58	74	1	0	0	0	0	0	0	0	0	651
1.59	77	1	1	0	0	0	0	0	0	0	660
1.6	77	0	1	0	0	0	0	0	0	0	666
1.61	77	1	1	0	0	0	0	0	0	0	673
1.62	79	1	1	0	0	0	0	0	0	0	681
